ResfamID	Resfam Family Name	Description	Antibiotic Classification (Resfam Only)	Mechanism Classification	Beta-Lactamase Ambler Class	Tetracycline Resistance (Resfam Only)
RF0001	16S_Ribosomal_RNA_Methyltransferase	16S ribosomal RNA methyltransferase	rRNA Methyltransferase	rRNA Methyltransferase		
RF0002	AAC3	Aminoglycoside Acetyltransferase (AAC3)	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0003	AAC3-I	Aminoglycoside Acetyltransferase (AAC3-I)	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0004	AAC6-I	Aminoglycoside Acetyltransferase (AAC6-I)	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0005	AAC6-Ib	Aminoglycoside Acetyltransferase (AAC6-Ib)	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0006	AAC6-II	Aminoglycoside Acetyltransferase (AAC6-II)	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0007	ABCAntibioticEffluxPump	ATP-binding cassette (ABC) antibiotic efflux pump	ABC Transporter	ABC Transporter		
RF0008	ABC_tran	PF00005.22 ABC transporter		ABC Transporter		
RF0009	ABC1	PF03109.11 ABC1 family		ABC Transporter		
RF0010	ABC2_membrane	PF01061.19 ABC-2 type transporter		ABC Transporter		
RF0011	Acetyltransf_1	PF00583.19 Acetyltransferase (GNAT) family		Acetyltransferase		
RF0012	Acetyltransf_3	PF13302.1 Acetyltransferase (GNAT) domain		Acetyltransferase		
RF0013	Acetyltransf_4	PF13420.1 Acetyltransferase (GNAT) domain		Acetyltransferase		
RF0014	Acetyltransf_7	PF13508.1 Acetyltransferase (GNAT) domain		Acetyltransferase		
RF0015	Acetyltransf_8	PF13523.1 Acetyltransferase (GNAT) domain		Acetyltransferase		
RF0016	Acetyltransf_9	PF13527.1 Acetyltransferase (GNAT) domain		Acetyltransferase		
RF0017	ACR_tran	PF00873.14 AcrB/AcrD/AcrF family		Other Efflux		
RF0018	Acyltransferase	PF01553.16 Acyltransferase		Acetyltransferase		
RF0019	adeA-adeI	adeA-adeI: membrane fusion protein of multidrug efflux complex	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0020	adeB	adeB: membrane fusion protein of multidrug efflux complex	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0021	adeC-adeK-oprM	adeC-adeK-oprM: outer membrane factor the multidrug efflux complex	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0022	adeR	adeR: positive regulator of AdeABC efflux system	Other Efflux	Other Efflux		
RF0023	adeS	adeS: gene modulating antibiotic efflux regulating AdeABC	Other Efflux	Other Efflux		
RF0024	Aminotran_1_2	PF00155.16 Aminotransferase class I and II		Aminotransferase		
RF0025	Aminotran_4	PF01063.14 Aminotransferase class IV		Aminotransferase		
RF0026	ANT2	Aminoglycoside Nucleotidyltransferase (ANT2)	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase		
RF0027	ANT3	Aminoglycoside Nucleotidyltransferase (ANT3)	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase		
RF0028	ANT4	Aminoglycoside Nucleotidyltransferase (ANT4)	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase		
RF0029	ANT6	Aminoglycoside Nucleotidyltransferase (ANT6)	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase		
RF0030	ANT9	Aminoglycoside Nucleotidyltransferase (ANT9)	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase		
RF0031	Antibiotic_NAT	PF02522.9 Aminoglycoside 3-N-acetyltransferase		Acetyltransferase		
RF0032	APH	PF01636.18 Phosphotransferase enzyme family		Acetyltransferase		
RF0033	APH3	aminoglycoside phosphotransferase (APH3)	Aminoglycoside Modifying Enzyme	Phosphotransferase		
RF0034	APH6	aminoglycoside phosphotransferase (APH3)	Aminoglycoside Modifying Enzyme	Phosphotransferase		
RF0035	baeR	baeR: subunit of gene modulating antibiotic efflux	Gene Modulating Resistance	Gene Modulating Resistance		
RF0036	baeS	baeS: subunit of gene modulating antibiotic efflux	Gene Modulating Resistance	Gene Modulating Resistance		
RF0037	BCII	Bacillus cereus beta-lactamase II (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0038	Beta-lactamase	PF00144.19 Beta-lactamase		Beta-Lactamase	Unclassified	
RF0039	Beta-lactamase2	PF13354.1 Beta-lactamase enzyme family		Beta-Lactamase	Unclassified	
RF0040	BJP	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0041	BlaB	Beta-lactamase B (BlaB) (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0042	blaI	"blaI: gene modulating beta-lactam resistance, regulates PC1 beta-lactamase (blaZ)"	Gene Modulating Resistance	Gene Modulating Resistance		
RF0043	blaR1	"blaR1: gene modulating beta-lactam resistance, regulates PC1 beta-lactamase (blaZ)"	Gene Modulating Resistance	Gene Modulating Resistance		
RF0044	CARB-PSE	CARB-PSE beta-lactamases (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0045	CAT	PF00302.13 Chloramphenicol acetyltransferase		Acetyltransferase		
RF0046	CblA	CblA cephalosporin (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0047	CepA	CepA cehphalosporin (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0048	Cfr23RibosomalRNAMethyltransferase	Cfr 23S ribosomal RNA methyltransferase	rRNA Methyltransferase	rRNA Methyltransferase		
RF0049	CfxA	CfxA cephalosporin (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
