Contig	ARG
1	Yes
2	Yes
4	Yes
5	Yes
8	Yes
12	Yes
15	Yes
16	Yes
17	Yes
18	Yes
20	Yes
23	Yes
25	Yes
26	Yes
28	Yes
29	Yes
30	Yes
33	Yes
34	Yes
37	Yes
38	Yes
39	Yes
40	Yes
41	Yes
45	Yes
47	Yes
50	Yes
52	Yes
53	Yes
54	Yes
57	Yes
58	Yes
59	Yes
62	Yes
63	Yes
64	Yes
67	Yes
69	Yes
70	Yes
73	Yes
77	Yes
80	Yes
81	Yes
82	Yes
83	Yes
89	Yes
96	Yes
98	Yes
100	Yes
101	Yes
103	Yes
104	Yes
105	Yes
107	Yes
109	Yes
110	Yes
111	Yes
112	Yes
114	Yes
118	Yes
119	Yes
120	Yes
121	Yes
125	Yes
126	Yes
127	Yes
128	Yes
130	Yes
132	Yes
134	Yes
136	Yes
139	Yes
140	Yes
141	Yes
142	Yes
143	Yes
144	Yes
145	Yes
147	Yes
150	Yes
152	Yes
155	Yes
157	Yes
158	Yes
161	Yes
163	Yes
164	Yes
165	Yes
166	Yes
167	Yes
168	Yes
169	Yes
172	Yes
174	Yes
177	Yes
179	Yes
180	Yes
183	Yes
187	Yes
188	Yes
191	Yes
192	Yes
193	Yes
194	Yes
195	Yes
197	Yes
200	Yes
203	Yes
205	Yes
206	Yes
207	Yes
208	Yes
209	Yes
216	Yes
218	Yes
220	Yes
221	Yes
222	Yes
223	Yes
224	Yes
227	Yes
229	Yes
234	Yes
238	Yes
244	Yes
246	Yes
247	Yes
250	Yes
255	Yes
256	Yes
258	Yes
260	Yes
261	Yes
262	Yes
264	Yes
265	Yes
267	Yes
270	Yes
271	Yes
272	Yes
278	Yes
279	Yes
285	Yes
286	Yes
287	Yes
289	Yes
293	Yes
294	Yes
295	Yes
297	Yes
299	Yes
300	Yes
302	Yes
304	Yes
305	Yes
307	Yes
308	Yes
309	Yes
310	Yes
311	Yes
312	Yes
314	Yes
316	Yes
317	Yes
318	Yes
319	Yes
320	Yes
322	Yes
324	Yes
326	Yes
327	Yes
335	Yes
337	Yes
340	Yes
343	Yes
