Raw_SplitA_1	Raw_SplitA2	Raw_SplitB_1	Raw_SplitB2	Concatenated_1	Concatenated_2	Clean_1	Clean_2	SL	Sample_ID	MetaSUB_ID	Sequencing_ID	City	Continent	Location	Location_specific	Latitude	Longitude	Station line	Station/car/interchange	Ground	Sampling place	Urbanization	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
HMCMJCCXY_s3_1_GSLv3-7_64_SL335739.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_64_SL335739.fastq.gz	NA	NA	NA	NA	SL335739_kneaddata_paired_1.fastq	SL335739_kneaddata_paired_2.fastq	SL335739	gcsd.denver.union.14	gCSD17-DEN-AS14	gCSD17-DEN-AS13	Denver	North America	Union Station	Union Station Other	39.7526509	-105.001685	different regional lines	Station/busstop	Underground	Other	Urban	~200	23/06 2017	20:00	20:15	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.026	2.6	2.08	0.288888889
HMCMJCCXY_s3_1_GSLv3-7_67_SL335742.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_67_SL335742.fastq.gz	NA	NA	NA	NA	SL335742_kneaddata_paired_1.fastq	SL335742_kneaddata_paired_2.fastq	SL335742	gcsd.den.01	gCSD17-DEN-AS01	gCSD17-DEN-AS01	Denver	North America	Boulder Junction	Boulder Junction Other	40.0258734	-105.2510194	different regional lines	Station/busstop	Underground	Other	Suburban	<10	22/06 2017	12:45	13:15	07/09 - KOB	6/11-17 KOB/IHT	100	20	0	-	-	-
HMCMJCCXY_s3_1_GSLv3-7_68_SL335743.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_68_SL335743.fastq.gz	NA	NA	NA	NA	SL335743_kneaddata_paired_1.fastq	SL335743_kneaddata_paired_2.fastq	SL335743	gcsd.den.02	gCSD17-DEN-AS02	gCSD17-DEN-AS02	Denver	North America	Boulder Junction	Boulder Junction Other	40.0258734	-105.2510194	different regional lines	Station/busstop	Underground	Other	Suburban	<10	22/06 2017	12:55	13:25	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.0077	0.77	0.616	0.085555556
HMCMJCCXY_s3_1_GSLv3-7_69_SL335744.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_69_SL335744.fastq.gz	NA	NA	NA	NA	SL335744_kneaddata_paired_1.fastq	SL335744_kneaddata_paired_2.fastq	SL335744	gcsd.den.03	gCSD17-DEN-AS03	gCSD17-DEN-AS03	Denver	North America	Boulder Junction	Boulder Junction Platform	40.0258734	-105.2510194	different regional lines	Interchange	Underground	Platform	Suburban	<10	22/06 2017	13:22	13:52	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.0172	1.72	1.376	0.191111111
HMCMJCCXY_s3_1_GSLv3-7_70_SL335745.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_70_SL335745.fastq.gz	NA	NA	NA	NA	SL335745_kneaddata_paired_1.fastq	SL335745_kneaddata_paired_2.fastq	SL335745	gcsd.denver.04	gCSD17-DEN-AS04	gCSD17-DEN-AS04	Denver	North America	Boulder Junction	Boulder Junction Other	40.0258734	-105.2510194	different regional lines	Station/busstop	Underground	Other	Suburban	<10	22/06 2017	18:00	18:30	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.0093	0.93	0.744	0.103333333
HMCMJCCXY_s3_1_GSLv3-7_71_SL335746.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_71_SL335746.fastq.gz	NA	NA	NA	NA	SL335746_kneaddata_paired_1.fastq	SL335746_kneaddata_paired_2.fastq	SL335746	gcsd.denver.05	gCSD17-DEN-AS05	gCSD17-DEN-AS05	Denver	North America	Boulder Junction	Boulder Junction Other	40.0258734	-105.2510194	different regional lines	Station/busstop	Underground	Other	Suburban	<10	22/06 2017	18:05	18:35	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.0151	1.51	1.208	0.167777778
HMCMJCCXY_s3_1_GSLv3-7_72_SL335747.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_72_SL335747.fastq.gz	NA	NA	NA	NA	SL335747_kneaddata_paired_1.fastq	SL335747_kneaddata_paired_2.fastq	SL335747	gcsd.denver.airport.06	gCSD17-DEN-AS06	gCSD17-DEN-AS06	Denver	North America	Denver Airport (DIA)	Denver Airport (DIA) Platform	39.8501278	-104.6739062	A line	Interchange	Aboveground	Platform	Suburban	~200	23/06 2017	18:00	18:30	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.173	17.3	13.84	1.922222222
HMCMJCCXY_s3_1_GSLv3-7_73_SL335748.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_73_SL335748.fastq.gz	NA	NA	NA	NA	SL335748_kneaddata_paired_1.fastq	SL335748_kneaddata_paired_2.fastq	SL335748	gcsd.denver.07.airportstation	gCSD17-DEN-AS07	gCSD17-DEN-AS07	Denver	North America	Denver Airport (DIA)	Denver Airport (DIA) Platform	39.8501278	-104.6739062	A line	Interchange	Aboveground	Platform	Suburban	~200	23/06 2017	18:00	18:30	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.143	14.3	11.44	1.588888889
HMCMJCCXY_s3_1_GSLv3-7_74_SL335749.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_74_SL335749.fastq.gz	NA	NA	NA	NA	SL335749_kneaddata_paired_1.fastq	SL335749_kneaddata_paired_2.fastq	SL335749	gcsd.denver.trainback.09	gCSD17-DEN-AS09	gCSD17-DEN-AS08	Denver	North America	Train Cabin - Back wagon	Train Cabin - Back wagon Other	39.8501278	-104.6739062	A line	Car/bus/cabin	Aboveground	Other	Suburban	~100	23/06 2017	19:15	19:45	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.0302	3.02	2.416	0.335555556
HMCMJCCXY_s3_1_GSLv3-7_75_SL335750.fastq.gz	HMCMJCCXY_s3_2_GSLv3-7_75_SL335750.fastq.gz	NA	NA	NA	NA	SL335750_kneaddata_paired_1.fastq	SL335750_kneaddata_paired_2.fastq	SL335750	gcsd.denver.trainback.10	gCSD17-DEN-AS10	gCSD17-DEN-AS09	Denver	North America	Train Cabin - front wagon	Train Cabin - front wagon Other	39.8501278	-104.6739062	A line	Car/bus/cabin	Aboveground	Other	Suburban	~100	23/06 2017	19:15	19:45	07/09 - KOB	6/11-17 KOB/IHT	100	20	0.0051	0.51	0.408	0.056666667
