Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Sampling place	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
SL310935	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	Platform	6000	04/07 2017	9:35	10:05	07/09-17 - KOB	17/11-17 KOB/IHT	100	20	0.042	4.2	3.36	0.466666667
SL310936	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	Platform	1600	04/07 2017	10:15	10:45	07/09-17 - KOB	17/11-17 KOB/IHT	100	20	0.0205	2.05	1.64	0.227777778
SL310937	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station/busstop	Aboveground	Platform	1200	04/07 2017	11:07	11:37	07/09-17 - KOB	17/11-17 KOB/IHT	100	10	0.0416	4.16	3.744	0.462222222
SL310938	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station/busstop	Aboveground	Platform	1500	04/07 2017	11:45	12:15	07/09-17 - KOB	17/11-17 KOB/IHT	100	20	0.116	11.6	9.28	1.288888889
SL310939	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station/busstop	Underground	Platform	2240	04/07 2017	13:38	14:08	07/09-17 - KOB	17/11-17 KOB/IHT	100	20	0.0294	2.94	2.352	0.326666667
SL310940	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	Platform	5600	04/07 2017	14:15	14:45	07/09-17 - KOB	17/11-17 KOB/IHT	100	20	0.0461	4.61	3.688	0.512222222
SL310941	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station/busstop	Underground	Platform	4800	04/07 2017	15:00	15:30	07/09-17 - KOB	17/11-17 KOB/IHT	100	10	0.0674	6.74	6.066	0.748888889
SL310942	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station/busstop	Underground	Platform	1600	04/07 2017	15:37	16:07	07/09-17 - KOB	17/11-17 KOB/IHT	100	10	0.049	4.9	4.41	0.544444444
SL310943	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	Platform	4000	04/07 2017	16:27	16:57	08/09-17 - KOB	17/11-17 KOB/IHT	100	10	0.0226	2.26	2.034	0.251111111
SL310944	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	Platform	4400	04/07 2017	17:06	17:36	08/09-17 - KOB	17/11-17 KOB/IHT	100	10	0.0262	2.62	2.358	0.291111111
SL310945	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station/busstop	Underground	Platform	4000	05/07 2017	9:35	10:05	08/09-17 - KOB	20/11-17 KOB	100	10	0.0764	7.64	6.876	0.848888889
SL310946	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	Platform	2800	05/07 2017	10:14	10:44	08/09-17 - KOB	20/11-17 KOB	100	10	0.0384	3.84	3.456	0.426666667
SL310947	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	Platform	4000	05/07 2017	11:10	11:40	08/09-17 - KOB	20/11-17 KOB	100	10	0.0714	7.14	6.426	0.793333333
SL310948	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station/busstop	Underground	Platform	2400	05/07 2017	11:47	12:17	08/09-17 - KOB	20/11-17 KOB	100	10	0.0554	5.54	4.986	0.615555556
SL310949	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station/busstop	Aboveground	Platform	2400	05/07 2017	14:00	14:30	08/09-17 - KOB	20/11-17 KOB	100	10	0.0312	3.12	2.808	0.346666667
SL310950	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	Platform	6800	05/07 2017	14:44	15:14	08/09-17 - KOB	20/11-17 KOB	100	10	0.0568	5.68	5.112	0.631111111
SL310951	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station/busstop	Underground	Platform	5600	05/07 2017	15:20	15:50	08/09-17 - KOB	20/11-17 KOB	100	10	0.0636	6.36	5.724	0.706666667
SL310952	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station/busstop	Underground	Platform	5250	05/07 2017	16:10	16:40	08/09-17 - KOB	20/11-17 KOB	100	10	0.0446	4.46	4.014	0.495555556
SL310953	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	Platform	7800	05/07 2017	16:45	17:15	08/09-17 - KOB	20/11-17 KOB	100	10	0.038	3.8	3.42	0.422222222
