Raw_SplitA_1	Raw_SplitA2	Raw_SplitB_1	Raw_SplitB2	Concatenated_1	Concatenated_2	Clean_1	Clean_2	SL	Sample_ID	MetaSUB_ID	Sequencing_ID	City	Continent	Location	Latitude	Longitude	Station line	Station/car/interchange	Ground	Sampling place	Urbanization	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
HMGW3CCXY_s2_1_GSLv5-8_i7_39-GSLv5-8_i5_58_SL342401.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_39-GSLv5-8_i5_58_SL342401.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_39-GSLv5-8_i5_58_SL342401.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_39-GSLv5-8_i5_58_SL342401.fastq.gz	SL342401_1.fastq.gz	SL342401_2.fastq.gz	SL342401_1_kneaddata_paired_1.fastq	SL342401_1_kneaddata_paired_2.fastq	SL342401	gCSD2017-LON-S5	gCSD17-LON-AS10	gCSD17-LON-AS10	London	Europe	Vauxhall	51.5245	-0.1381	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	10:25	10:55	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0436	4.36	3.924	0.484444444
HMGW3CCXY_s2_1_GSLv5-8_i7_40-GSLv5-8_i5_57_SL342402.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_40-GSLv5-8_i5_57_SL342402.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_40-GSLv5-8_i5_57_SL342402.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_40-GSLv5-8_i5_57_SL342402.fastq.gz	SL342402_1.fastq.gz	SL342402_2.fastq.gz	SL342402_1_kneaddata_paired_1.fastq	SL342402_1_kneaddata_paired_2.fastq	SL342402	gCSD2017-LON-S6	gCSD17-LON-AS11	gCSD17-LON-AS11	London	Europe	Brixton	51.52774	-0.13303	Victoria	Station/busstop	Underground	Platform	Urban		18/08 2017	11:20	11:50	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.091	9.1	8.19	1.011111111
HMGW3CCXY_s2_1_GSLv5-8_i7_41-GSLv5-8_i5_56_SL342403.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_41-GSLv5-8_i5_56_SL342403.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_41-GSLv5-8_i5_56_SL342403.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_41-GSLv5-8_i5_56_SL342403.fastq.gz	SL342403_1.fastq.gz	SL342403_2.fastq.gz	SL342403_1_kneaddata_paired_1.fastq	SL342403_1_kneaddata_paired_2.fastq	SL342403	18/7/2017-LON-N1	gCSD17-LON-AS12	gCSD17-LON-AS12	London	Europe	Warren Street	51.53057	-0.12399	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	12:15	12:45	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.102	10.2	9.18	1.133333333
HMGW3CCXY_s2_1_GSLv5-8_i7_42-GSLv5-8_i5_55_SL342404.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_42-GSLv5-8_i5_55_SL342404.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_42-GSLv5-8_i5_55_SL342404.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_42-GSLv5-8_i5_55_SL342404.fastq.gz	SL342404_1.fastq.gz	SL342404_2.fastq.gz	SL342404_1_kneaddata_paired_1.fastq	SL342404_1_kneaddata_paired_2.fastq	SL342404	18/7/2017-LON-N2	gCSD17-LON-AS13	gCSD17-LON-AS13	London	Europe	Euston	51.54502	-0.10752	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	13:57	14:27	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0482	4.82	4.338	0.535555556
HMGW3CCXY_s2_1_GSLv5-8_i7_43-GSLv5-8_i5_54_SL342405.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_43-GSLv5-8_i5_54_SL342405.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_43-GSLv5-8_i5_54_SL342405.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_43-GSLv5-8_i5_54_SL342405.fastq.gz	SL342405_1.fastq.gz	SL342405_2.fastq.gz	SL342405_1_kneaddata_paired_1.fastq	SL342405_1_kneaddata_paired_2.fastq	SL342405	18/7/2017-LON-N3	gCSD17-LON-AS14	gCSD17-LON-AS14	London	Europe	Kings Cross St Pancras	51.56498	-0.10543	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	14:50	15:20	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0528	5.28	4.752	0.586666667
HMGW3CCXY_s2_1_GSLv5-8_i7_44-GSLv5-8_i5_53_SL342406.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_44-GSLv5-8_i5_53_SL342406.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_44-GSLv5-8_i5_53_SL342406.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_44-GSLv5-8_i5_53_SL342406.fastq.gz	SL342406_1.fastq.gz	SL342406_2.fastq.gz	SL342406_1_kneaddata_paired_1.fastq	SL342406_1_kneaddata_paired_2.fastq	SL342406	18/7/2017-LON-N4	gCSD17-LON-AS15	gCSD17-LON-AS15	London	Europe	Highbury & Islington	51.51517	-0.14119	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	10:33	11:03	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0552	5.52	4.968	0.613333333
HMGW3CCXY_s2_1_GSLv5-8_i7_45-GSLv5-8_i5_52_SL342407.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_45-GSLv5-8_i5_52_SL342407.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_45-GSLv5-8_i5_52_SL342407.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_45-GSLv5-8_i5_52_SL342407.fastq.gz	SL342407_1.fastq.gz	SL342407_2.fastq.gz	SL342407_1_kneaddata_paired_1.fastq	SL342407_1_kneaddata_paired_2.fastq	SL342407	18/7/2017-LON-N5	gCSD17-LON-AS16	gCSD17-LON-AS16	London	Europe	Finsbury Park	51.50674	-0.14276	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	11:31	12:01	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0528	5.28	4.752	0.586666667
HMGW3CCXY_s2_1_GSLv5-8_i7_46-GSLv5-8_i5_51_SL342408.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_46-GSLv5-8_i5_51_SL342408.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_46-GSLv5-8_i5_51_SL342408.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_46-GSLv5-8_i5_51_SL342408.fastq.gz	SL342408_1.fastq.gz	SL342408_2.fastq.gz	SL342408_1_kneaddata_paired_1.fastq	SL342408_1_kneaddata_paired_2.fastq	SL342408	18/7/2017-LON-S1	gCSD17-LON-AS17	gCSD17-LON-AS17	London	Europe	Oxford Circus	51.489081	-0.133037	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	12:33	13:03	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0314	3.14	2.826	0.348888889
HMGW3CCXY_s2_1_GSLv5-8_i7_47-GSLv5-8_i5_50_SL342409.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_47-GSLv5-8_i5_50_SL342409.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_47-GSLv5-8_i5_50_SL342409.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_47-GSLv5-8_i5_50_SL342409.fastq.gz	SL342409_1.fastq.gz	SL342409_2.fastq.gz	SL342409_1_kneaddata_paired_1.fastq	SL342409_1_kneaddata_paired_2.fastq	SL342409	18/7/2017-LON-S2	gCSD17-LON-AS18	gCSD17-LON-AS18	London	Europe	Green Park	51.48603	-0.12369	Victoria	Interchange	Underground	Platform	Urban		18/08 2017	13:17	13:47	23/11-17 KOB	24/11-17 KOB/IHT	100	10	0.0298	2.98	2.682	0.331111111
HMGW3CCXY_s2_1_GSLv5-8_i7_48-GSLv5-8_i5_49_SL342410.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_48-GSLv5-8_i5_49_SL342410.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_48-GSLv5-8_i5_49_SL342410.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_48-GSLv5-8_i5_49_SL342410.fastq.gz	SL342410_1.fastq.gz	SL342410_2.fastq.gz	SL342410_1_kneaddata_paired_1.fastq	SL342410_1_kneaddata_paired_2.fastq	SL342410	18/7/2017-LON-S3	gCSD17-LON-AS19	gCSD17-LON-AS19	London	Europe	Pimlico	51.46239	-0.115421	Victoria	Station/busstop	Underground	Platform	Urban		18/08 2017	14:11	14:41	23/11-17 KOB	24/11-17 KOB	100	10	0.049	4.9	4.41	0.544444444
HMGW3CCXY_s2_1_GSLv5-8_i7_49-GSLv5-8_i5_48_SL342411.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_49-GSLv5-8_i5_48_SL342411.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_49-GSLv5-8_i5_48_SL342411.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_49-GSLv5-8_i5_48_SL342411.fastq.gz	SL342411_1.fastq.gz	SL342411_2.fastq.gz	SL342411_1_kneaddata_paired_1.fastq	SL342411_1_kneaddata_paired_2.fastq	SL342411	18/7/2017-LON-S4	gCSD17-LON-AS20	gCSD17-LON-AS20	London	Europe	Vauxhall	51.56498	-0.10543	Victoria	Interchange	Underground	Platform	Urban		21/08 2017	10:59	11:29	23/11-17 KOB	24/11-17 KOB	100	10	0.0652	6.52	5.868	0.724444444
HMGW3CCXY_s2_1_GSLv5-8_i7_50-GSLv5-8_i5_47_SL342412.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_50-GSLv5-8_i5_47_SL342412.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_50-GSLv5-8_i5_47_SL342412.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_50-GSLv5-8_i5_47_SL342412.fastq.gz	SL342412_1.fastq.gz	SL342412_2.fastq.gz	SL342412_1_kneaddata_paired_1.fastq	SL342412_1_kneaddata_paired_2.fastq	SL342412	18/7/2017-LON-S5	gCSD17-LON-AS21	gCSD17-LON-AS21	London	Europe	Brixton	51.54502	-0.10752	Victoria	Station/busstop	Underground	Platform	Urban		21/08 2017	11:50	12:20	23/11-17 KOB	24/11-17 KOB	100	10	0.0468	4.68	4.212	0.52
HMGW3CCXY_s2_1_GSLv5-8_i7_51-GSLv5-8_i5_46_SL342413.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_51-GSLv5-8_i5_46_SL342413.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_51-GSLv5-8_i5_46_SL342413.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_51-GSLv5-8_i5_46_SL342413.fastq.gz	SL342413_1.fastq.gz	SL342413_2.fastq.gz	SL342413_1_kneaddata_paired_1.fastq	SL342413_1_kneaddata_paired_2.fastq	SL342413	21/7/2017-LON-N1	gCSD17-LON-AS22	gCSD17-LON-AS22	London	Europe	Finsbury Park	51.53057	-0.12399	Victoria	Station/busstop	Underground	Platform	Urban		21/08 2017	12:50	13:20	23/11-17 KOB	24/11-17 KOB	100	10	0.0948	9.48	8.532	1.053333333
HMGW3CCXY_s2_1_GSLv5-8_i7_52-GSLv5-8_i5_45_SL342414.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_52-GSLv5-8_i5_45_SL342414.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_52-GSLv5-8_i5_45_SL342414.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_52-GSLv5-8_i5_45_SL342414.fastq.gz	SL342414_1.fastq.gz	SL342414_2.fastq.gz	SL342414_1_kneaddata_paired_1.fastq	SL342414_1_kneaddata_paired_2.fastq	SL342414	21/7/2017-LON-N2	gCSD17-LON-AS23	gCSD17-LON-AS23	London	Europe	Highbury & Islington	51.52774	-0.13303	Victoria	Interchange	Underground	Platform	Urban		21/08 2017	14:01	14:31	23/11-17 KOB	24/11-17 KOB	100	10	0.0728	7.28	6.552	0.808888889
HMGW3CCXY_s2_1_GSLv5-8_i7_53-GSLv5-8_i5_44_SL342415.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_53-GSLv5-8_i5_44_SL342415.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_53-GSLv5-8_i5_44_SL342415.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_53-GSLv5-8_i5_44_SL342415.fastq.gz	SL342415_1.fastq.gz	SL342415_2.fastq.gz	SL342415_1_kneaddata_paired_1.fastq	SL342415_1_kneaddata_paired_2.fastq	SL342415	21/7/2017-LON-N3	gCSD17-LON-AS24	gCSD17-LON-AS24	London	Europe	Kings Cross St Pancras	51.5245	-0.1381	Victoria	Interchange	Underground	Platform	Urban		21/08 2017	14:53	15:23	23/11-17 KOB	24/11-17 KOB	100	10	0.0378	3.78	3.402	0.42
HMGW3CCXY_s2_1_GSLv5-8_i7_54-GSLv5-8_i5_43_SL342416.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_54-GSLv5-8_i5_43_SL342416.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_54-GSLv5-8_i5_43_SL342416.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_54-GSLv5-8_i5_43_SL342416.fastq.gz	SL342416_1.fastq.gz	SL342416_2.fastq.gz	SL342416_1_kneaddata_paired_1.fastq	SL342416_1_kneaddata_paired_2.fastq	SL342416	21/7/2017-LON-N4	gCSD17-LON-AS25	gCSD17-LON-AS25	London	Europe	Euston	51.46239	-0.115421	Victoria	Interchange	Underground	Platform	Urban		21/08 2017	11:11	11:41	23/11-17 KOB	24/11-17 KOB	100	10	0.0558	5.58	5.022	0.62
