Raw_SplitA_1	Raw_SplitA2	Raw_SplitB_1	Raw_SplitB2	Concatenated_1	Concatenated_2	Clean_1	Clean_2	SL	Sample_ID	MetaSUB_ID	Sequencing_ID	City	Continent	Location	Latitude	Longitude	Station line	Station/car/interchange	Ground	Sampling place	Urbanization	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
HMGW3CCXY_s2_1_GSLv5-8_i7_01-GSLv5-8_i5_96_SL342363.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_01-GSLv5-8_i5_96_SL342363.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_01-GSLv5-8_i5_96_SL342363.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_01-GSLv5-8_i5_96_SL342363.fastq.gz	SL342363_1.fastq.gz	SL342363_2.fastq.gz	SL342363_1_kneaddata_paired_1.fastq	SL342363_1_kneaddata_paired_2.fastq	SL342363	CSD2017-NYC-AS01	gCSD17-NYC-AS01	gCSD17-NYC-AS01	New York	North America	72nd St. 	40.775594	-73.97641	B/C	Interchange	Underground	Platform	Urban	NA	21/06 2017	16:50	17:25	1/11-17 - KOB	22/11-17 KOB/IHT	100	20	0.122	12.2	9.76	1.355555556
HMGW3CCXY_s2_1_GSLv5-8_i7_02-GSLv5-8_i5_95_SL342364.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_02-GSLv5-8_i5_95_SL342364.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_02-GSLv5-8_i5_95_SL342364.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_02-GSLv5-8_i5_95_SL342364.fastq.gz	SL342364_1.fastq.gz	SL342364_2.fastq.gz	SL342364_1_kneaddata_paired_1.fastq	SL342364_1_kneaddata_paired_2.fastq	SL342364	CSD2017-NYC-AS02	gCSD17-NYC-AS02	gCSD17-NYC-AS02	New York	North America	63rd St. 	40.626472	-73.996895	D/N	Interchange	Underground	Platform	Urban	NA	21/06 2017	16:55	17:25	1/11-17 - KOB	22/11-17 KOB/IHT	100	20	0.0679	6.79	5.432	0.754444444
HMGW3CCXY_s2_1_GSLv5-8_i7_03-GSLv5-8_i5_94_SL342365.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_03-GSLv5-8_i5_94_SL342365.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_03-GSLv5-8_i5_94_SL342365.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_03-GSLv5-8_i5_94_SL342365.fastq.gz	SL342365_1.fastq.gz	SL342365_2.fastq.gz	SL342365_1_kneaddata_paired_1.fastq	SL342365_1_kneaddata_paired_2.fastq	SL342365	CSD2017-NYC-AS03	gCSD17-NYC-AS03	gCSD17-NYC-AS03	New York	North America	57th St	40.764664	-73.980658	N/Q/R	Interchange	Underground	Platform	Urban	NA	21/06 2017	17:30	18:00	1/11-17 - KOB	22/11-17 KOB/IHT	100	20	0.0661	6.61	5.288	0.734444444
HMGW3CCXY_s2_1_GSLv5-8_i7_04-GSLv5-8_i5_93_SL342366.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_04-GSLv5-8_i5_93_SL342366.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_04-GSLv5-8_i5_93_SL342366.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_04-GSLv5-8_i5_93_SL342366.fastq.gz	SL342366_1.fastq.gz	SL342366_2.fastq.gz	SL342366_1_kneaddata_paired_1.fastq	SL342366_1_kneaddata_paired_2.fastq	SL342366	CSD2017-NYC-AS04	gCSD17-NYC-AS04	gCSD17-NYC-AS04	New York	North America	68th St.	40.768141	-73.96387	6	Station	Underground	Platform	Urban	NA	21/06 2017	16:15	16:45	1/11-17 - KOB	22/11-17 KOB/IHT	100	20	0.102	10.2	8.16	1.133333333
HMGW3CCXY_s2_1_GSLv5-8_i7_05-GSLv5-8_i5_92_SL342367.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_05-GSLv5-8_i5_92_SL342367.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_05-GSLv5-8_i5_92_SL342367.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_05-GSLv5-8_i5_92_SL342367.fastq.gz	SL342367_1.fastq.gz	SL342367_2.fastq.gz	SL342367_1_kneaddata_paired_1.fastq	SL342367_1_kneaddata_paired_2.fastq	SL342367	CSD2017-NYC-AS05	gCSD17-NYC-AS05	gCSD17-NYC-AS05	New York	North America	77th St. 	40.77362	-73.959874	6	Station	Underground	Platform	Urban	NA	21/06 2017	16:50	17:25	1/11-17 - KOB	22/11-17 KOB/IHT	100	20	0.152	15.2	12.16	1.688888889
HMGW3CCXY_s2_1_GSLv5-8_i7_06-GSLv5-8_i5_91_SL342368.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_06-GSLv5-8_i5_91_SL342368.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_06-GSLv5-8_i5_91_SL342368.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_06-GSLv5-8_i5_91_SL342368.fastq.gz	SL342368_1.fastq.gz	SL342368_2.fastq.gz	SL342368_1_kneaddata_paired_1.fastq	SL342368_1_kneaddata_paired_2.fastq	SL342368	CSD2017-NYC-AS06	gCSD17-NYC-AS06	gCSD17-NYC-AS06	New York	North America	72nd St. 	40.775594	-73.97641	B/C	Interchange	Underground	Platform	Urban	NA	22/06 2017	14:25	14:55	1/11-17 - KOB	22/11-17 KOB/IHT	100	10	0.0542	5.42	4.878	0.602222222
HMGW3CCXY_s2_1_GSLv5-8_i7_07-GSLv5-8_i5_90_SL342369.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_07-GSLv5-8_i5_90_SL342369.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_07-GSLv5-8_i5_90_SL342369.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_07-GSLv5-8_i5_90_SL342369.fastq.gz	SL342369_1.fastq.gz	SL342369_2.fastq.gz	SL342369_1_kneaddata_paired_1.fastq	SL342369_1_kneaddata_paired_2.fastq	SL342369	CSD2017-NYC-AS07	gCSD17-NYC-AS07	gCSD17-NYC-AS07	New York	North America	63rd St. 	40.626472	-73.996895	D/N	Interchange	Underground	Platform	Urban	NA	22/06 2017	15:48	16:18	1/11-17 - KOB	22/11-17 KOB/IHT	100	10	0.0392	3.92	3.528	0.435555556
HMGW3CCXY_s2_1_GSLv5-8_i7_08-GSLv5-8_i5_89_SL342370.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_08-GSLv5-8_i5_89_SL342370.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_08-GSLv5-8_i5_89_SL342370.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_08-GSLv5-8_i5_89_SL342370.fastq.gz	SL342370_1.fastq.gz	SL342370_2.fastq.gz	SL342370_1_kneaddata_paired_1.fastq	SL342370_1_kneaddata_paired_2.fastq	SL342370	CSD2017-NYC-AS08	gCSD17-NYC-AS08	gCSD17-NYC-AS08	New York	North America	68th St.	40.768141	-73.96387	6	Station	Underground	Platform	Urban	NA	22/06 2017	14:28	15:01	1/11-17 - KOB	22/11-17 KOB/IHT	100	10	0.048	4.8	4.32	0.533333333
HMGW3CCXY_s2_1_GSLv5-8_i7_09-GSLv5-8_i5_88_SL342371.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_09-GSLv5-8_i5_88_SL342371.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_09-GSLv5-8_i5_88_SL342371.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_09-GSLv5-8_i5_88_SL342371.fastq.gz	SL342371_1.fastq.gz	SL342371_2.fastq.gz	SL342371_1_kneaddata_paired_1.fastq	SL342371_1_kneaddata_paired_2.fastq	SL342371	CSD2017-NYC-AS09	gCSD17-NYC-AS09	gCSD17-NYC-AS09	New York	North America	77th St. 	40.77362	-73.959874	6	Station	Underground	Platform	Urban	NA	22/06 2017	15:11	15:41	1/11-17 - KOB	22/11-17 KOB/IHT	100	10	0.0508	5.08	4.572	0.564444444
HMGW3CCXY_s2_1_GSLv5-8_i7_10-GSLv5-8_i5_87_SL342372.fastq.gz	HMGW3CCXY_s2_2_GSLv5-8_i7_10-GSLv5-8_i5_87_SL342372.fastq.gz	HMGTJCCXY_s2_1_GSLv5-8_i7_10-GSLv5-8_i5_87_SL342372.fastq.gz	HMGTJCCXY_s2_2_GSLv5-8_i7_10-GSLv5-8_i5_87_SL342372.fastq.gz	SL342372_1.fastq.gz	SL342372_2.fastq.gz	SL342372_1_kneaddata_paired_1.fastq	SL342372_1_kneaddata_paired_2.fastq	SL342372	CSD2017-NYC-AS10	gCSD17-NYC-AS10	gCSD17-NYC-AS10	New York	North America	59th St. 	40.762526	-73.967967	N/Q/R	Interchange	Underground	Platform	Urban	NA	22/06 2017	16:36	17:06	1/11-17 - KOB	22/11-17 KOB/IHT	100	10	0.038	3.8	3.42	0.422222222
