Raw_SplitA_1	Raw_SplitA2	Raw_SplitB_1	Raw_SplitB2	Concatenated_1	Concatenated_2	Clean_1	Clean_2	SL	Sample_ID	MetaSUB_ID	Sequencing_ID	City	Continent	Location	Latitude	Longitude	Station line	Station/car/interchange	Ground	Sampling place	Urbanization	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
HK7G5CCXY_s4_1_GSLv3-7_81_SL311015.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_81_SL311015.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_81_SL311015_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_81_SL311015_kneaddata_paired_2.fastq	SL311015	CSD17-OSL-AS1	gCSD17-OSL-AS1	gCSD17-OSL-AS1	Oslo	Europe	Vestli	59.97204	10.92944	Line04	Interchange	Underground	Platform	Suburban	1-10	21/06 2017	08:55	09:25	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0401	4.01	3.208	0.445555556
HK7G5CCXY_s4_1_GSLv3-7_82_SL311016.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_82_SL311016.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_82_SL311016_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_82_SL311016_kneaddata_paired_2.fastq	SL311016	CSD17-OSL-AS2	gCSD17-OSL-AS2	gCSD17-OSL-AS2	Oslo	Europe	RomsŒs	59.9626	10.89248	Line04	Interchange	Underground	Platform	Suburban	10-50	21/06 2017	09:35	10:05	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0303	3.03	2.424	0.336666667
HK7G5CCXY_s4_1_GSLv3-7_83_SL311017.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_83_SL311017.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_83_SL311017_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_83_SL311017_kneaddata_paired_2.fastq	SL311017	CSD17-OSL-AS3	gCSD17-OSL-AS3	gCSD17-OSL-AS3	Oslo	Europe	Carl Berners plass	59.92566	10.77959	Line05	Interchange	Underground	Platform	Urban	10-50	21/06 2017	10:35	11:05	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0225	2.25	1.8	0.25
HK7G5CCXY_s4_1_GSLv3-7_84_SL311018.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_84_SL311018.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_84_SL311018_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_84_SL311018_kneaddata_paired_2.fastq	SL311018	CSD17-OSL-AS4	gCSD17-OSL-AS4	gCSD17-OSL-AS4	Oslo	Europe	Gr¿nland	59.91278	10.76009	Line01	Interchange	Underground	Platform	Urban	10-50	21/06 2017	11:10	11:40	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.066	6.6	5.28	0.733333333
HK7G5CCXY_s4_1_GSLv3-7_85_SL311019.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_85_SL311019.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_85_SL311019_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_85_SL311019_kneaddata_paired_2.fastq	SL311019	CSD17-OSL-AS5	gCSD17-OSL-AS5	gCSD17-OSL-AS5	Oslo	Europe	Jernbanetorget	59.91226	10.75027	Line01	Interchange	Underground	Platform	Urban	>50	21/06 2017	11:46	12:16	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0973	9.73	7.784	1.081111111
HK7G5CCXY_s4_1_GSLv3-7_86_SL311020.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_86_SL311020.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_86_SL311020_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_86_SL311020_kneaddata_paired_2.fastq	SL311020	CSD17-OSL-AS6	gCSD17-OSL-AS6	gCSD17-OSL-AS6	Oslo	Europe	Stortinget	59.91343	10.74329	Line01	Interchange	Underground	Platform	Urban	10-50	21/06 2017	12:20	12:50	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0401	4.01	3.208	0.445555556
HK7G5CCXY_s4_1_GSLv3-7_87_SL311021.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_87_SL311021.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_87_SL311021_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_87_SL311021_kneaddata_paired_2.fastq	SL311021	CSD17-OSL-AS7	gCSD17-OSL-AS7	gCSD17-OSL-AS7	Oslo	Europe	Nationaltheateret	59.91546	10.73209	Line01	Interchange	Underground	Platform	Urban	>50	21/06 2017	12:57	13:27	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0867	8.67	6.936	0.963333333
HK7G5CCXY_s4_1_GSLv3-7_88_SL311022.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_88_SL311022.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_88_SL311022_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_88_SL311022_kneaddata_paired_2.fastq	SL311022	CSD17-OSL-AS8	gCSD17-OSL-AS8	gCSD17-OSL-AS8	Oslo	Europe	Montebello	59.93482	10.6664	Line03	Station/busstop	Aboveground	Platform	Suburban	1-10	21/06 2017	13:45	14:15	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0225	2.25	1.8	0.25
HK7G5CCXY_s4_1_GSLv3-7_89_SL311023.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_89_SL311023.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_89_SL311023_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_89_SL311023_kneaddata_paired_2.fastq	SL311023	CSD17-OSL-AS9 SASS	gCSD17-OSL-AS9	gCSD17-OSL-AS9	Oslo	Europe	EllingsrudŒsen	59.93651	10.91664	Line02	Station/busstop	Underground	Platform	Suburban	1-10	21/06 2017	09:00	09:30	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0164	1.64	1.312	0.182222222
HK7G5CCXY_s4_1_GSLv3-7_90_SL311024.fastq.gz	HK7G5CCXY_s4_2_GSLv3-7_90_SL311024.fastq.gz	NA	NA	NA	NA	HK7G5CCXY_s4_1_GSLv3-7_90_SL311024_kneaddata_paired_1.fastq	HK7G5CCXY_s4_1_GSLv3-7_90_SL311024_kneaddata_paired_2.fastq	SL311024	CSD17-OSL-AS10 SASS	gCSD17-OSL-AS10	gCSD17-OSL-AS10	Oslo	Europe	Lindeberg	59.93276	10.88167	Line02	Station/busstop	Underground	Platform	Suburban	10-50	21/06 2017	09:40	10:10	01/09 - KOB	07/11-17 - KoB/ITH	100	20	0.0247	2.47	1.976	0.274444444
