Raw_SplitA_1	Raw_SplitA2	Raw_SplitB_1	Raw_SplitB2	Concatenated_1	Concatenated_2	Clean_1	Clean_2	SL	Sample_ID	MetaSUB_ID	Sequencing_ID	City	Continent	Location	Latitude	Longitude	Station line	Station/car/interchange	Ground	Sampling place	Urbanization	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
HMGW3CCXY_s2_1_GSLv5-8_i7_77-GSLv5-8_i5_20_SL342439.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_77-GSLv5-8_i5_20_SL342439.fastq.gz			SL342439_1.fastq.gz	SL342439_2.fastq.gz	SL342439_1_kneaddata_paired_1.fastq	SL342439_1_kneaddata_paired_2.fastq	SL342439	gCSD17-STO-AS7	gCSD17-STO-AS7	gCSD17-STO-AS7	Stockholm	Europe	Skanstull	59.19556	18.0144	Green	Interchange	Underground	Other	Urban		26/09 2017	8:40	9:10	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.0322	3.22	2.898	0.357777778
HMGW3CCXY_s2_1_GSLv5-8_i7_78-GSLv5-8_i5_19_SL342440.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_78-GSLv5-8_i5_19_SL342440.fastq.gz			SL342440_1.fastq.gz	SL342440_2.fastq.gz	SL342440_1_kneaddata_paired_1.fastq	SL342440_1_kneaddata_paired_2.fastq	SL342440	gCSD17-STO-AS8	gCSD17-STO-AS8	gCSD17-STO-AS8	Stockholm	Europe	Fridhemsplan	59.18277	18.04331	Green	Station/busstop	Underground	Other	Urban		26/09 2017	11:17	11:47	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.0514	5.14	4.626	0.571111111
HMGW3CCXY_s2_1_GSLv5-8_i7_79-GSLv5-8_i5_18_SL342441.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_79-GSLv5-8_i5_18_SL342441.fastq.gz			SL342441_1.fastq.gz	SL342441_2.fastq.gz	SL342441_1_kneaddata_paired_1.fastq	SL342441_1_kneaddata_paired_2.fastq	SL342441	gCSD17-STO-AS9	gCSD17-STO-AS9	gCSD17-STO-AS9	Stockholm	Europe	Fridhemsplan	59.18515	18.04241	Green	Station/busstop	Underground	Other	Urban		26/09 2017	10:30	11:00	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.0522	5.22	4.698	0.58
HMGW3CCXY_s2_1_GSLv5-8_i7_80-GSLv5-8_i5_17_SL342442.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_80-GSLv5-8_i5_17_SL342442.fastq.gz			SL342442_1.fastq.gz	SL342442_2.fastq.gz	SL342442_1_kneaddata_paired_1.fastq	SL342442_1_kneaddata_paired_2.fastq	SL342442	gCSD17-STO-AS10	gCSD17-STO-AS10	gCSD17-STO-AS10	Stockholm	Europe	Skanstull	59.19104	18.04194	Green	Interchange	Underground	Other	Urban		26/09 2017	9:58	10:28	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.133	13.3	11.97	1.477777778
HMGW3CCXY_s2_1_GSLv5-8_i7_81-GSLv5-8_i5_16_SL342443.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_81-GSLv5-8_i5_16_SL342443.fastq.gz			SL342443_1.fastq.gz	SL342443_2.fastq.gz	SL342443_1_kneaddata_paired_1.fastq	SL342443_1_kneaddata_paired_2.fastq	SL342443	gCSD17-STO-AS11	gCSD17-STO-AS11	gCSD17-STO-AS11	Stockholm	Europe	Medborgarplatsen	59.19513	18.03327	Red	Interchange	Underground	Other	Urban		26/09 2017	9:22	9:52	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.135	13.5	12.15	1.5
HMGW3CCXY_s2_1_GSLv5-8_i7_82-GSLv5-8_i5_15_SL342444.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_82-GSLv5-8_i5_15_SL342444.fastq.gz			SL342444_1.fastq.gz	SL342444_2.fastq.gz	SL342444_1_kneaddata_paired_1.fastq	SL342444_1_kneaddata_paired_2.fastq	SL342444	gCSD17-STO-AS12	gCSD17-STO-AS12	gCSD17-STO-AS12	Stockholm	Europe	Slussen	59.20448	18.04165	Red	Station/busstop	Underground	Other	Urban		26/09 2017	13:20	13:50	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.053	5.3	4.77	0.588888889
HMGW3CCXY_s2_1_GSLv5-8_i7_83-GSLv5-8_i5_14_SL342445.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_83-GSLv5-8_i5_14_SL342445.fastq.gz			SL342445_1.fastq.gz	SL342445_2.fastq.gz	SL342445_1_kneaddata_paired_1.fastq	SL342445_1_kneaddata_paired_2.fastq	SL342445	gCSD17-STO-AS13	gCSD17-STO-AS13	gCSD17-STO-AS13	Stockholm	Europe	T-centralen	59.21546	18.03144	Red	Station/busstop	Underground	Other	Urban		26/09 2017	13:52	14:22	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.278	27.8	25.02	3.088888889
HMGW3CCXY_s2_1_GSLv5-8_i7_84-GSLv5-8_i5_13_SL342446.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_84-GSLv5-8_i5_13_SL342446.fastq.gz			SL342446_1.fastq.gz	SL342446_2.fastq.gz	SL342446_1_kneaddata_paired_1.fastq	SL342446_1_kneaddata_paired_2.fastq	SL342446	gCSD17-STO-AS14	gCSD17-STO-AS14	gCSD17-STO-AS14	Stockholm	Europe	Tekniska hogskolan	59.23283	18.02298	Red	Station/busstop	Underground	Other	Suburban		26/09 2017	14:26	14:56	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.0664	6.64	5.976	0.737777778
HMGW3CCXY_s2_1_GSLv5-8_i7_85-GSLv5-8_i5_12_SL342447.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_85-GSLv5-8_i5_12_SL342447.fastq.gz			SL342447_1.fastq.gz	SL342447_2.fastq.gz	SL342447_1_kneaddata_paired_1.fastq	SL342447_1_kneaddata_paired_2.fastq	SL342447	gCSD17-STO-AS15	gCSD17-STO-AS15	gCSD17-STO-AS15	Stockholm	Europe	Universitetet	59.23283	18.02298	Red	Station/busstop	Underground	Other	Suburban		27/09 2017	8:22	8:52	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.092	9.2	8.28	1.022222222
HMGW3CCXY_s2_1_GSLv5-8_i7_86-GSLv5-8_i5_11_SL342448.fastq.gz	HMGW3CCXY_s2_1_GSLv5-8_i7_86-GSLv5-8_i5_11_SL342448.fastq.gz			SL342448_1.fastq.gz	SL342448_2.fastq.gz	SL342448_1_kneaddata_paired_1.fastq	SL342448_1_kneaddata_paired_2.fastq	SL342448	gCSD17-STO-AS16	gCSD17-STO-AS16	gCSD17-STO-AS16	Stockholm	Europe	Danderyd	59.21546	18.03144	Red	Station/busstop	Underground	Other	Suburban		27/09 2017	8:58	9:28	02/11-17 - KOB	27/11-17 KOB/IHT	100	10	0.0264	2.64	2.376	0.293333333
