Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Samplig_date	Temperature_Out	RH
SL310937	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station	Aboveground	04_07_2017	31	81
SL310942	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station	Underground	04_07_2017	30	85
SL310935	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	04_07_2017	31	81
SL310943	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	04_07_2017	30	85
SL310940	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	04_07_2017	30	85
SL310938	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station	Aboveground	04_07_2017	31	81
SL310941	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station	Underground	04_07_2017	30	85
SL310939	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station	Underground	04_07_2017	30	85
SL310936	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	04_07_2017	31	81
SL310944	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	04_07_2017	30	85
SL310950	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	05_07_2017	33	71
SL310952	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station	Underground	05_07_2017	33	71
SL310948	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station	Underground	05_07_2017	32	75
SL310953	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	05_07_2017	33	71
SL310954	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station	Aboveground	05_07_2017	33	71
SL310947	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	05_07_2017	32	75
SL310949	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station	Aboveground	05_07_2017	33	71
SL310946	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	05_07_2017	32	75
SL310951	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station	Underground	05_07_2017	33	71
SL310945	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station	Underground	05_07_2017	32	75
SL310957	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station	Aboveground	06_07_2017	30	87
SL310962	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station	Underground	06_07_2017	31	81
SL310955	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	06_07_2017	30	87
SL310963	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	06_07_2017	31	81
SL310960	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	06_07_2017	31	81
SL310958	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station	Aboveground	06_07_2017	30	87
SL310961	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station	Underground	06_07_2017	31	81
SL310959	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station	Underground	06_07_2017	31	81
SL310956	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	06_07_2017	30	87
SL310964	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	06_07_2017	31	81
SL310970	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	07_07_2017	30	77
SL310972	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station	Underground	07_07_2017	30	77
SL310968	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station	Underground	07_07_2017	31	79
SL310973	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	07_07_2017	30	77
SL310974	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station	Aboveground	07_07_2017	30	77
SL310967	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	07_07_2017	31	79
SL310969	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station	Aboveground	07_07_2017	30	77
SL310966	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	07_07_2017	31	79
SL310971	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station	Underground	07_07_2017	30	77
SL310965	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station	Underground	07_07_2017	31	79
SL310977	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station	Aboveground	11_07_2017	32	70
SL310982	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station	Underground	11_07_2017	33	63
SL310975	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	11_07_2017	32	70
SL310983	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	11_07_2017	33	63
SL310980	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	11_07_2017	33	63
SL310978	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station	Aboveground	11_07_2017	32	70
SL310981	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station	Underground	11_07_2017	33	63
SL310979	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station	Underground	11_07_2017	33	63
SL310976	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	11_07_2017	32	70
SL310984	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	11_07_2017	33	63
SL310990	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	12_07_2017	34	61
SL310992	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station	Underground	12_07_2017	34	61
SL310988	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station	Underground	12_07_2017	32	73
SL310993	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	12_07_2017	34	61
SL310994	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station	Aboveground	12_07_2017	34	61
SL310987	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	12_07_2017	32	73
SL310989	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station	Aboveground	12_07_2017	34	61
SL310986	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	12_07_2017	32	73
SL310991	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station	Underground	12_07_2017	34	61
SL310985	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station	Underground	12_07_2017	32	73
SL310997	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station	Aboveground	13_07_2017	33	67
SL311002	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station	Underground	13_07_2017	35	59
SL310995	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	13_07_2017	33	67
SL311003	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	13_07_2017	35	59
SL311000	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	13_07_2017	35	59
SL310998	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station	Aboveground	13_07_2017	33	67
SL311001	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station	Underground	13_07_2017	35	59
SL310999	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station	Underground	13_07_2017	35	59
SL310996	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	13_07_2017	33	67
SL311004	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	13_07_2017	35	59
SL311010	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	14_07_2017	34	61
SL311012	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station	Underground	14_07_2017	34	61
SL311008	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station	Underground	14_07_2017	34	68
SL311013	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	14_07_2017	34	61
SL311014	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station	Aboveground	14_07_2017	34	61
SL311007	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	14_07_2017	34	68
SL311009	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station	Aboveground	14_07_2017	34	61
SL311006	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	14_07_2017	34	68
SL311011	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station	Underground	14_07_2017	34	61
SL311005	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station	Underground	14_07_2017	34	68
SL342402	London	Brixton	51.52774	-0.13303	Victoria	Station	Underground	18_08_2017	20	75
SL342404	London	Euston	51.54502	-0.10752	Victoria	Interchange	Underground	18_08_2017	19	76
SL342407	London	Finsbury Park	51.50674	-0.14276	Victoria	Interchange	Underground	18_08_2017	20	75
SL342409	London	Green Park	51.48603	-0.12369	Victoria	Interchange	Underground	18_08_2017	19	76
SL342406	London	Highbury & Islington	51.51517	-0.14119	Victoria	Interchange	Underground	18_08_2017	20	75
SL342405	London	Kings Cross St Pancras	51.56498	-0.10543	Victoria	Interchange	Underground	18_08_2017	19	76
SL342408	London	Oxford Circus	51.489081	-0.133037	Victoria	Interchange	Underground	18_08_2017	19	76
SL342410	London	Pimlico	51.46239	-0.115421	Victoria	Station	Underground	18_08_2017	19	76
SL342401	London	Vauxhall	51.5245	-0.1381	Victoria	Interchange	Underground	18_08_2017	20	75
SL342403	London	Warren Street	51.53057	-0.12399	Victoria	Interchange	Underground	18_08_2017	19	76
SL342365	New York	57th St	40.764664	-73.980658	N/Q/R	Interchange	Underground	21_06_2017	28	44
SL342364	New York	63rd St.	40.626472	-73.996895	D/N	Interchange	Underground	21_06_2017	28	44
SL342366	New York	68th St.	40.768141	-73.96387	6	Station	Underground	21_06_2017	28	44
SL342363	New York	72nd St.	40.775594	-73.97641	B/C	Interchange	Underground	21_06_2017	28	44
SL342367	New York	77th St.	40.77362	-73.959874	6	Station	Underground	21_06_2017	28	44
SL311017	Oslo	Carl Berners plass	59.92566	10.77959	Line05	Interchange	Underground	21_06_2017	18	44
SL311023	Oslo	Ellingsrudåsen	59.93651	10.91664	Line02	Station	Underground	21_06_2017	18	44
SL311028	Oslo	Forskningsparken	59.9437	10.72088	Line04	Interchange	Aboveground	21_06_2017	20	38
SL311018	Oslo	Grønland	59.91278	10.76009	Line01	Interchange	Underground	21_06_2017	18	44
SL311025	Oslo	Helsfyr	59.91259	10.80139	Line01	Interchange	Underground	21_06_2017	18	44
SL311019	Oslo	Jernbanetorget	59.91226	10.75027	Line01	Interchange	Underground	21_06_2017	18	44
SL311024	Oslo	Lindeberg	59.93276	10.88167	Line02	Station	Underground	21_06_2017	18	44
SL311030	Oslo	Løren	59.9301	10.78959	Line04	Station	Underground	21_06_2017	20	38
SL311027	Oslo	Majorstua	59.93016	10.71473	Line01	Interchange	Aboveground	21_06_2017	18	44
SL311022	Oslo	Montebello	59.93482	10.6664	Line03	Station	Aboveground	21_06_2017	20	38
SL311021	Oslo	Nationaltheateret	59.91546	10.73209	Line01	Interchange	Underground	21_06_2017	20	38
SL311029	Oslo	Nydalen	59.9494	10.76592	Line04	Interchange	Underground	21_06_2017	20	38
SL311016	Oslo	Romsås	59.9626	10.89248	Line04	Interchange	Underground	21_06_2017	18	44
SL311020	Oslo	Stortinget	59.91343	10.74329	Line01	Interchange	Underground	21_06_2017	20	38
SL311026	Oslo	Tøyen	59.91558	10.7758	Line01	Interchange	Underground	21_06_2017	18	44
SL311015	Oslo	Vestli	59.97204	10.92944	Line04	Interchange	Underground	21_06_2017	18	44
SL342412	London	Brixton	51.54502	-0.10752	Victoria	Station	Underground	21_08_2017	18	95
SL342418	London	Brixton	51.489081	-0.133037	Victoria	Station	Underground	21_08_2017	20	82
SL342416	London	Euston	51.46239	-0.115421	Victoria	Interchange	Underground	21_08_2017	18	95
SL342413	London	Finsbury Park	51.53057	-0.12399	Victoria	Station	Underground	21_08_2017	20	82
SL342414	London	Highbury & Islington	51.52774	-0.13303	Victoria	Interchange	Underground	21_08_2017	20	82
