g00	mluteus_SL342364	mluteus_SL342365	mluteus_SL342366	mluteus_SL342368	mluteus_SL342373	mluteus_SL342374	mluteus_SL342375	mluteus_SL342376	mluteus_SL342377	mluteus_SL342383	mluteus_SL342384	mluteus_SL342385	mluteus_SL342386	mluteus_SL342387	mluteus_SL342388	mluteus_SL342390	mluteus_SL342391
g000001	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000004	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
g000005	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1
g000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000012	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
g000013	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1
g000014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000016	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0
g000017	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g000018	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000023	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
g000024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000027	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
g000028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000029	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g000030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000033	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1
g000034	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
g000035	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1
g000036	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1
g000037	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1
g000038	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1
g000039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000044	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
g000045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000050	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
g000051	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0
g000052	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1
g000053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000054	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
g000055	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
g000056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000057	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
g000058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000060	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0
g000061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000062	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
g000063	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1
g000064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000065	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
g000066	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0
g000067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000068	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1
g000069	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
g000070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g000072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000073	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000074	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
g000075	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000078	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0
g000079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000080	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1
g000081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000082	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000083	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1
g000084	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1
g000085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000086	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0
g000087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000090	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
g000091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000093	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000112	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0
g000113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g000116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000118	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1
g000119	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g000120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000123	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
g000124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000125	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
g000126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000128	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
g000129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000130	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
g000131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000134	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0
g000135	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1
