g00	pacnes_SL335742	pacnes_SL335743	pacnes_SL335745	pacnes_SL335746	pacnes_SL335749	pacnes_SL335750	pacnes_SL335753	pacnes_SL335755	pacnes_SL335756	pacnes_SL335757	pacnes_SL335758	pacnes_SL335761	pacnes_SL335762	pacnes_SL335763	pacnes_SL335764	pacnes_SL335770	pacnes_SL335771
g000001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000002	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1
g000003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000004	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
g000005	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
g000006	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0
g000007	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
g000008	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
g000009	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
g000010	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000011	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000013	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000016	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
g000017	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
g000018	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0
g000019	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
g000020	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
g000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000025	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000026	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
g000027	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
g000028	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0
g000029	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
g000030	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000031	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
g000032	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1
g000033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000034	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0
g000035	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
g000036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000037	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000038	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1
