Sample	City	Strain	Ribotype	Clade
REF_G000008345	Reference	KPA171202	RT1	IA-3
REF_G000025765	Reference	SK137	RT1	IA-2
REF_G000144025	Reference	HL002PA1	RT3	IB-2
REF_G000144045	Reference	HL067PA1	RT3	IB-2
REF_G000144185	Reference	HL053PA1	RT4	IA-2
REF_G000144205	Reference	HL110PA1	RT8	IB-1
REF_G000144245	Reference	HL072PA1	RT5	IA-1
REF_G000144265	Reference	HL050PA1	RT3	IB-2
REF_G000144285	Reference	HL046PA1	RT3	IB-2
REF_G000144325	Reference	HL050PA3	RT3	IB-2
REF_G000144345	Reference	HL005PA3	RT1	IA-1
REF_G000144385	Reference	HL005PA2	RT1	IA-1
REF_G000144465	Reference	HL050PA2	RT1	II
REF_G000144485	Reference	HL087PA3	RT3	IB-2
REF_G000144505	Reference	HL020PA1	RT1	IA-1
REF_G000144715	Reference	HL027PA2	RT1	IA-1
REF_G000144735	Reference	HL063PA2	RT3	IB-2
REF_G000144755	Reference	HL043PA2	RT5	IA-2
REF_G000144775	Reference	HL002PA3	RT1	IA-1
REF_G000144795	Reference	HL025PA1	RT1	IA-2
REF_G000144815	Reference	HL110PA2	RT8	IB-1
REF_G000144835	Reference	HL074PA1	RT4	IA-2
REF_G000144855	Reference	HL059PA1	RT16	IB-2
REF_G000144875	Reference	HL046PA2	RT1	IA-1
REF_G000144895	Reference	HL110PA4	RT6	II
REF_G000145115	Reference	HL030PA1	RT1	IB-3
REF_G000145135	Reference	HL087PA1	RT3	IB-2
REF_G000145155	Reference	HL083PA2	RT3	IB-2
REF_G000145175	Reference	HL007PA1	RT4	IA-2
REF_G000145335	Reference	HL072PA2	RT5	IA-1
REF_G000145435	Reference	HL092PA1	RT8	IB-1
REF_G000145535	Reference	HL078PA1	RT1	IA-2
REF_G000147145	Reference	HL087PA2	RT1	IA-1
REF_G000178055	Reference	J165	RT1	IA-1
REF_G000194825	Reference	HL096PA3	RT1	IA-1
REF_G000194845	Reference	HL096PA2	RT5	IA-2
REF_G000194865	Reference	HL103PA1	RT2	II
REF_G000194905	Reference	HL097PA1	RT5	IC
REF_G000203995	Reference	HL099PA1	RT4	IA-2
REF_G000213155	Reference	266	RT1	IA-1
REF_G000217615	Reference	6609	RT1	IB-3
REF_G000221125	Reference	SK182	RT1	IA-2
REF_G000231215	Reference	ATCC 11828	RT2	II
REF_G000240015	Reference	P.acn33	RT3	IA-2
REF_G000240035	Reference	P.acn17	RT3	IB-2
REF_G000252385	Reference	PRP-38	RT5	IC
REF_G000376705	Reference	HL096PA1	RT5	IA-2
REF_G000730465	Reference	HL411PA1	RT5	IA-1
REF_G000735055	Reference	HL202PA1	RT6	II
REF_G000735065	Reference	HL201PA1	Unclassified	III
SL310935	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310936	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310937	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310939	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310940	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310941	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310942	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310943	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310944	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310945	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310946	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310947	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310948	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310949	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310950	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310951	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310952	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310953	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310954	Hong Kong	Hong Kong	Hong Kong	Hong Kong
SL310955	Hong Kong	Hong Kong	Hong Kong	Hong Kong
