Organism	g00	KO	Function
mluteus16	g001648	K03724	helicase
mluteus16	g003925	K03724	helicase
mluteus16	g002482	K03724	helicase
mluteus16	g001217		SNF2 family N-terminal domain
mluteus16	g001380		helicase
mluteus16	g000196	"K00265,K00284"	Glutamate synthase
mluteus16	g001516	"K00265,K00284"	Glutamate synthase
mluteus16	g003192		type iii restriction
mluteus16	g001256	K03724	helicase
mluteus16	g000725	K03578	ATP-dependent helicase hrpA
mluteus16	g000862		non-ribosomal peptide synthetase
mluteus16	g002699	"K03046,K13797"	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
mluteus16	g002687		
mluteus16	g003117	"K00164,K01616"	"2-oxoglutarate dehydrogenase, E1"
mluteus16	g000190	"K02337,K14162"	DNA polymerase involved in damage-induced mutagenesis and translesion synthesis (TLS). It is not the major replicative DNA polymerase (By similarity)
mluteus16	g003148		TrwC relaxase
mluteus16	g000096	K03723	transcriptioN-repair coupling factor
mluteus16	g003179	"K00249,K00294,K13821"	Proline dehydrogenase
mluteus16	g002219		serine threonine protein kinase
mluteus16	g004156		LysM domain
mluteus16	g003600	K02337	DNA polymerase III subunit alpha
mluteus16	g000777	K06860	superfamily I DNA and RNA helicase and helicase
mluteus16	g001427	K06860	superfamily I DNA and RNA helicase and helicase
mluteus16	g001192		TrwC relaxase
mluteus16	g002437		TrwC relaxase
mluteus16	g000702	K03657	helicase
mluteus16	g000808	"K06147,K06148,K16012,K16013,K16014"	abc transporter
mluteus16	g001765	K01958	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)"
mluteus16	g004109	K00705	4-alpha-glucanotransferase (EC 2.4.1.25)
mluteus16	g001852	K06413	stage V sporulation protein K
mluteus16	g002700	K03043	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
mluteus16	g000045	K02343	"DNA polymerase III, subunits gamma and tau"
mluteus16	g001783		TrwC relaxase
mluteus16	g001017		helicase
mluteus16	g000946	K01153	type I restriction-modification system
mluteus16	g003463		Helicase
mluteus16	g000172	K01870	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)"
mluteus16	g001374	"K08300,K08301"	ribonuclease
