Marker	g00	Gene	One	Two	Three	Four	Goterms	KO	Function
pacnes16:g003851:G000735065:PAST3_RS06570__WP_032503344.1_1	g003851	3851	267747.PPA1615	0	3422.1			K06877	DEAD DEAH box helicase
pacnes16:g001038:G000145115:HMPREF9601_RS06465__WP_032496562.1_1	g001038	1038	267747.PPA1615	0	4202.5			K06877	DEAD DEAH box helicase
pacnes16:g001078:G000145135:HMPREF9579_RS07955__WP_002524642.1_1	g001078	1078	267747.PPA0200	0	1694.9				YD repeat protein
pacnes16:g001119:G000145175:HMPREF9616_RS00605__WP_002520185.1_1	g001119	1119	267747.PPA1329	0	3036.1	GDH	"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0030312,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	K15371	Dehydrogenase
pacnes16:g001990:G000252385:TICEST70_RS00420__WP_002550879.1_1	g001990	1990	267747.PPA1614	0	1779.2				"type II restriction enzyme, methylase subunit"
pacnes16:g000521:G000144505:HMPREF9563_RS00875__WP_002535100.1_1	g000521	521	267747.PPA1614	0	1799.3				"type II restriction enzyme, methylase subunit"
pacnes16:g002005:G000252385:TICEST70_RS0111620__pseudo_1	g002005	2005	267747.PPA1615	0	1826.6			K06877	DEAD DEAH box helicase
pacnes16:g002005:G000252385:TICEST70_RS0111620__pseudo_2	g002005	2005	267747.PPA1615	2.00E-232	810.1			K06877	DEAD DEAH box helicase
pacnes16:g000723:G000144795:HMPREF9587_RS04120__WP_002536921.1_1	g000723	723	267747.PPA1134	0	3008	GLTB	"GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0015930,GO:0016053,GO:0016491,GO:0016638,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044710,GO:0044711,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"	"K00265,K00284"	Glutamate synthase
pacnes16:g003576:G000730465:FB41_RS05665__WP_002529970.1_1	g003576	3576	267747.PPA1172	0	2898.6	YXCA			CoA-substrate-specific enzyme activase
pacnes16:g003832:G000735065:PAST3_RS05675__WP_032503401.1_1	g003832	3832	267747.PPA1172	0	2843.5	YXCA			CoA-substrate-specific enzyme activase
pacnes16:g000108:G000144025:HMPREF9613_RS11565__WP_002529438.1_1	g000108	108	267747.PPA1820	0	2850.5	HEXA		"K01218,K12373"	ec 3.2.1.52
